,Stock,User,Comment,Comment Time
2318,IZENR,Aytunç Tayfur,"tadi falan kacti olayin. yaziktir, gunahtir ya. bu kadar insan kazandigin paranin bir bolumune ortak olmak istedi sadece. ama senin amacin go*tumuzde ki donu da almak. arkadaslar lutfen diyorum ya lutfen. almayin, aldirmayin. cikmasin gerekiyorsa ama bu ga*vata para kaptirmayin daha fazla.",5 saat önce
2319,IZENR,Alper Urgenc,"surekli dususteki temel sebep nedir ? ayrica 29,94-30,00 tl de saglam bir direnc gosteriyor bunu da aciklayabilecek var mi ?",5 saat önce
2320,IZENR,Baki Teke,algi yapan kim varsa cikdigi yere sokum,5 saat önce
2321,IZENR,Baki Teke,seko,5 saat önce
2322,IZENR,erkut askın,🐢🐢🐢🐢🐢🐢,5 saat önce
2323,IZENR,erkut askın,oglum pala bu kagitta lqn iki ayi var lan kqmiller roket olcek roket 45-75-140 siraya gireceksanaz siraya he valla ben sizi diyirem ytd olmadan tabi,5 saat önce
2324,IZENR,Aytunç Tayfur,gercekten artik bo*kunu cikarttin ya tahtaci. ulan az yuksel. firsat bile vermiyorsun cikmamiza. nasil bi o.e sin sen boyle.,6 saat önce
2325,IZENR,Talihsiz Shortcu,"seko mudur siko mudur nedir engelledim. dall*ma ergen. millet 8 aydir iceride, cop kagit hareket bile etmiyor bir de gelmis millete algici, siyonist bilmemne :)",6 saat önce
2326,IZENR,Mehmet Demirbağ,ben hic kufur etmemisim,6 saat önce
2327,IZENR,Mehmet Demirbağ,gardas seko benim zararim vallahi 100 bin sagligim bozul psikolojim bozul her namaz kildigimda dua ediyom millettin parasina cokegenlerin aldigi paralara cocuklarina bile allah'im yedirmeyi nasip etmesin dermansiz derde yakalasinlar firildaklar,6 saat önce
2328,IZENR,Seko Pasa,burda almayin diyenler tahtacinin adami. kendileri topluyor. ytd.,6 saat önce
2329,IZENR,Borsa Acemisi,ne kadar sah... oldugunu hergun yazin yanlislikla birisi alis yapmasin. almayin aldirmayin. madam uck... devam bizde takibe. ytd,6 saat önce
2330,IZENR,Mehmet Demirbağ,seko adami ttahrik et gerisini sen dusun,6 saat önce
2331,IZENR,Talihsiz Shortcu,bundan bir cacik olmaz. bakalim secim sonrasi duruma gore yolumuza bakacaz... ytd.,6 saat önce
2332,IZENR,Aytunç Tayfur,"ya dun az yukseldi diye triplere girenler vardi. serdar mi semih mi ne? adam memleketi gibi savunuyordu bu spek kagidi. bize algici dedi, fakir dedi, sacmaladi:). kendisini analistci yapti:)) ulan ben 7 aydir burdayim. bu uc kâgitcinin cigerini bilirim. bu tahtaci gorup gorebilecegin en buyuk o.e serdar kardes midir semih midir nedir. asik atilmaz, arkasinda da durulmaz. dedigim gibi. almayin, alditmayin!!!",7 saat önce
2333,IZENR,Seko Pasa,tahtaciya kufur eden siyonizmle ortaklasa calisan diger firmalarin elemanidir bence. anca kotulersiniz. girdiginizden beri firma ayni firma neden kufur ediyorsunuz is birlikci siyonistler.,7 saat önce
2334,IZENR,mete mete,ana avrat kufur ettirecekler. mubarek ramazan.spk uyuyor mu nedir bu rezillik.,7 saat önce
2335,IZENR,Murat Gür,kagida yabanciyim bukadar baskilama ve dusurmelerindeki neden nedir bilen bir arkadas yardimci abilirmi,7 saat önce
2336,IZENR,experkory ,ben bu surunmenin daha da uzun surecegini ongoruyorum. senesini doldurmadan yurumeyecek. ustelik yurumeye kalksa bile yil sonunda en fazla 150-200 arasina gelir.. asil kopuslar 2025 yilbasi sonrasi baslar.. seneye bugun 1000leri goruruz..,7 saat önce
2337,IZENR,Doğan Çamoğlu,beyler zararina satis yapmanizi istiyolar sakin....,7 saat önce
2338,IZENR,Mert Dinmez,izdmc paylarini topluyor surekli..odas la cante arasindaki mevzuya benziyor...dikkat edin onlarda gitmiyor...demekki kagit ustunde al gulum ver gulum mevzular var...yatirimcida beklesin dursun...izenr halka arzdan sonra bakin kap ta bi tane is almismi??,7 saat önce
2339,IZENR,Samet Aydın,allah belani versin,7 saat önce
2340,IZENR,Mehmet Demirbağ,i̇zzet erol cikdindasa burda neisin var ana,7 saat önce
2341,IZENR,Mehmet Demirbağ,tahtaci ninda senin festekliyeninde anasinda bacisinida...... .. koyalar,7 saat önce
2342,IZENR,Seko Pasa,satislar alislardan 400 k onde neye gore aliyorsunuz :),7 saat önce
2343,IZENR,AkıllıBorsa,alttan toplaya toplaya tahtaci ben olcam mk,7 saat önce
2344,IZENR,Mami Polat,maliyetim den satmadigim icin pisman oluyorum hergun,7 saat önce
2345,IZENR,Mami Polat,lânet olasica yeter artik . iyicene boku cikti,7 saat önce
2346,IZENR,Engin Antarili,bunlar resmen soygun yapiyorlar,7 saat önce
2347,IZENR,Seko Pasa,tahtaciya laf eden adam siyonizmin adamidir . acik ve net,8 saat önce
2348,IZENR,Aytunç Tayfur,muthis dolandiricisin be oglum.. ve seni savunanin gercekten kendisine saygisi yoktur.,8 saat önce
2349,IZENR,Aykut Zafer,gum gum gum.patron ne vurdu yine be.taban surpriz olmaz.,8 saat önce
2350,IZENR,Burak Mert,ya bu hisseyi hala tutan var mi aylardir yari fiyatina dustu hala bekliyorsunuz enayi misiniz,8 saat önce
2351,IZENR,Mutlu Cansız,arkadaslar cimer e ortak yazi yazalim. bunun adi soygun,8 saat önce
2352,IZENR,izzet Erol,bi̇r i̇ki̇ ay once zararina ciktim bu hi̇sseden.kalan paramla kri̇ptoda zararimi cikardim geldi̇m buraya i̇nti̇kam almaya.saniyorum yi̇ne alamicam i̇nti̇kam :) ya fi̇bonaci̇ dedi̇k destek dedi̇k di̇ren dedi̇k vs.ben boyle bi̇r kagit gormedi̇m yani̇ senelerdi̇r borsa dir kri̇ptodu kendi̇ capimizda bi̇si̇ler yapmaya calisiyoruz.ama bu kagit beni̇ gercekten cok si̇ni̇r etti̇.resmen bi̇lendi̇m hirslandim kumara dondurdu bende bu i̇si̇.,8 saat önce
2353,IZENR,Mutlu Cansız,blokaj koyun hisselerinize,8 saat önce
2354,IZENR,Yavuzhan Alibaşoğlu,para pul oldu hu hala dusuyor,8 saat önce
2355,IZENR,Zülküf Kavut,arkaslar nakitte paraniz varsa dusmesi daha iyi,8 saat önce
2356,IZENR,Gamze Kayar,maliyetler kac hapiss olduk cikamiyoruz :(,8 saat önce
2357,IZENR,Speko speko,dilan polatmis adnan oktarmis tosuncukmus bunlari iceri attilar ama o vocunun en buyuk sirketi disardu burda onlar bu hisseden serefli,8 saat önce
2358,IZENR,Mehmet Demirbağ,dun kopek vardi diyordu ya cikacak o iti bulun getirin kimin iti oldugu belli oldu,8 saat önce
2359,IZENR,Önder Gümüş,istikrarli ve israrli dusuyor kerata; iflah olur umarim.,9 saat önce
2360,IZENR,Volkan Ersöz,"spk halka arzlar el ele ky soydular , tarihin en yasal soygunu borsada oldu",9 saat önce
2361,IZENR,Soner Abanoz,akkkkk sirketi aylardir kervana taktin bizi oocccclari,9 saat önce
2362,IZENR,Mutlu Cansız,allah belasini versin,9 saat önce
2363,IZENR,Haski Husenk,her an devre kesebilir ayik olun,9 saat önce
2364,IZENR,Haski Husenk,"konkordote talebi yapmislar, kabul olmus kayyum atamasi bekliyorlar, aksama kapi atarlar gecmis olsun hreksese",9 saat önce
2365,IZENR,Senol Demir,bugun 1 taban alirim ben zaten kokune kadar girmis,9 saat önce
2366,IZENR,Umit Aktas,allahin laneti uzerinize olsun,9 saat önce
2367,IZENR,Talihsiz Shortcu,takip listesi ekside olanlar; izner ve taten. 2 adet cop spek kagit...,9 saat önce
2368,IZENR,Aytunç Tayfur,"almayin, aldirmayin!!!!",9 saat önce
2369,IZENR,Mehmet Ali Kaçar,kriptoya gectim burada omur curur,9 saat önce
2370,IZMDC,Hayri Dede,kimse maliyetine guvenmesin bu idc adama saplar goz yasina bakmaz,1 saat önce
2371,IZMDC,Gürkan Gülen,bu hissenin sahiplerine helal olsun hic kazandirmadigi halde bizi burda tutuyoya buyuk adamlar saygi duyulmasi gerekiyo...her babayigidin harci degil surekli zarar ettiripte ky yil elde tutmak...,3 saat önce
2372,IZMDC,Burak Ilgın,"kgyo hissesi, bugun kapanisa dogru tavan yapmasi beklenen ve hedef fiyati 75 tl olan bir hisse. bedelsiz sermaye artirimi icin onay aldigi da biliniyor.",5 saat önce
2373,IZMDC,metin Erdoğan,mecbur cikacaksin bu esek boyle gitmez...yada batacaksin... enflasyon ve dolar karsisinda eriyip gittin.. 4 sene once karsiligi 4 dolar ediyordu simdi cent olmus degeri...,9 saat önce
2374,IZMDC,Gümüş Bey,1 gunde verdigini 5 dakikada geri aldi.,9 saat önce
2375,IZMDC,Merdo yolcu,ulan seksen yasinda dedenin haceti gibi ayda yilda bir yukselir sonra hop asa iner.,12 saat önce
2376,KARSN,Yoğun Bakım,"11,72 ve 12,29 direncleri var. dogru mudur? rsi̇ haftalikta 66,5.buda guzel. yon 14,32'ye kadar yukari gorunuyor. ytd tabiki de.. ama daha iyi garafikci arkadaslar bilgi verirse daha saglikli olur. insallah guzel rakamlara gelir hisse.",1 saat önce
2377,KARSN,ahmet uz,arkadaslar beklenti fiyat nedir,1 saat önce
2378,KARSN,Kadir Özdaş,adil degeri ne kadar,1 saat önce
